Accession	Evidence	ChEBI-ID	Position
Q47Q21	ECO:0007744	CHEBI:18420	177
O15123	ECO:0007744	CHEBI:29108	435
O04719	ECO:0000269	CHEBI:18420	165
O04719	ECO:0007744	CHEBI:18420	252
Q99ZV9	ECO:0000269	CHEBI:29108	138
P48452	ECO:0000269	CHEBI:24875	90
P48452	ECO:0000269	CHEBI:24875	118
P20249	ECO:0000269	CHEBI:29108	27
P22894	ECO:0000269	CHEBI:29105	195
P22894	ECO:0000269	CHEBI:29105	182
P20581	ECO:0000269	CHEBI:24875	178
P21697	ECO:0000269	CHEBI:23378	67
Q9H6E5	ECO:0000269	CHEBI:18420	218
O34450	ECO:0000269	CHEBI:24875	223
P12694	ECO:0000269	CHEBI:29103	206
P10964	ECO:0000269	CHEBI:29105	75
O60016	ECO:0000269	CHEBI:29105	268
Q09472	ECO:0000269	CHEBI:29105	378
P32356	ECO:0000269	CHEBI:29108	116
Q8WWA0	ECO:0000269	CHEBI:29108	274
Q8WWA0	ECO:0000269	CHEBI:29108	92
Q9ZFE7	ECO:0000269	CHEBI:49786	103
P62623	ECO:0000269	CHEBI:49883	96
P9WKJ5	ECO:0000269	CHEBI:18420	138
P9WKJ5	ECO:0000269	CHEBI:190135	64
P00396	ECO:0000269	CHEBI:23378	240
P00396	ECO:0000269	CHEBI:23378	291
P46637	ECO:0000269	CHEBI:29035	161
P05067	ECO:0007744	CHEBI:29036	147
P05067	ECO:0000269	CHEBI:29036	147
P05067	ECO:0000269	CHEBI:29036	677
P00396	ECO:0000269	CHEBI:29101	441
Q09884	ECO:0000269	CHEBI:29105	1350
P33919	ECO:0007744	CHEBI:29105	387
P33919	ECO:0007744	CHEBI:29105	384
Q9ULU4	ECO:0000269	CHEBI:29105	94
P0DP24	ECO:0000269	CHEBI:29108	21
P0DP24	ECO:0000269	CHEBI:29108	63
P02795	ECO:0000269	CHEBI:60240	24
A0QJI1	ECO:0000269	CHEBI:18420	189
Q46509	ECO:0000269	CHEBI:190135	40
P06999	ECO:0000269	CHEBI:29103	291
P46444	ECO:0000269	CHEBI:23378	123
P13382	ECO:0000269	CHEBI:29105	1372
Q0QLE9	ECO:0000269	CHEBI:29105	276
Q45515	ECO:0007744	CHEBI:29105	239
Q45515	ECO:0007744	CHEBI:29105	315
P13650	ECO:0000269	CHEBI:29108	297
Q7SIC1	ECO:0007744	CHEBI:29108	49
Q1Q0T3	ECO:0000269	CHEBI:29108	123
Q1Q0T3	ECO:0007744	CHEBI:29108	139
Q1Q0T3	ECO:0007744	CHEBI:29108	119
P18177	ECO:0007744	CHEBI:29105	546
P18177	ECO:0007744	CHEBI:29105	653
P35747	ECO:0007744	CHEBI:29105	91
P08235	ECO:0007744	CHEBI:29105	639
P08235	ECO:0000269	CHEBI:29105	623
P08235	ECO:0000269	CHEBI:29105	620
Q9NJU9	ECO:0007744	CHEBI:29108	477
P0A9Q7	ECO:0000269	CHEBI:24875	653
P0DOY6	ECO:0000269	CHEBI:29105	43
Q8NHM5	ECO:0007744	CHEBI:29105	688
Q8NHM5	ECO:0000269	CHEBI:29105	722
Q8NHM5	ECO:0000269	CHEBI:29105	619
Q8NHM5	ECO:0000269	CHEBI:29105	691
O05927	ECO:0000269	CHEBI:49883	140
Q83WF2	ECO:0000269	CHEBI:18420	275
Q8GUI6	ECO:0007744	CHEBI:24875	309
O60568	ECO:0007744	CHEBI:24875	667
Q7NXD4	ECO:0000269	CHEBI:29035	248
Q9S5G5	ECO:0000269	CHEBI:29105	93
Q9S5G5	ECO:0000269	CHEBI:29105	101
P68661	ECO:0007744	CHEBI:29105	13
V9VGU0	ECO:0000269	CHEBI:23378	340
Q8MZM3	ECO:0000269	CHEBI:23378	223
Q9UXT7	ECO:0000269	CHEBI:24875	285
Q93YB2	ECO:0000269	CHEBI:29101	99
Q8BGN3	ECO:0000269	CHEBI:29105	241
Q8BGN3	ECO:0007744	CHEBI:29105	193
Q8EAC7	ECO:0007744	CHEBI:29108	250
P0A951	ECO:0007744	CHEBI:18420	76
P26769	ECO:0000269	CHEBI:18420	338
Q16878	ECO:0000269	CHEBI:24875	140
Q88KV1	ECO:0000269	CHEBI:24875	154
P36873	ECO:0000269	CHEBI:29035	92
A0A256XLS3	ECO:0007744	CHEBI:29035	143
A0A256XLS3	ECO:0000269	CHEBI:29035	77
P24752	ECO:0000269	CHEBI:29103	281
P24752	ECO:0000269	CHEBI:29103	219
Q9QF31	ECO:0000269	CHEBI:29105	918
P03523	ECO:0000269	CHEBI:29105	1302
P03523	ECO:0000269	CHEBI:29105	1294
Q9NVH0	ECO:0000269	CHEBI:60240	246
P9WMN3	ECO:0000269	CHEBI:18420	239
P00281	ECO:0000269	CHEBI:23378	116
P43005	ECO:0000269	CHEBI:29101	408
P43005	ECO:0007744	CHEBI:29101	451
Q57884	ECO:0000269	CHEBI:29105	95
Q9BU89	ECO:0007744	CHEBI:24875	90
P34047	ECO:0000269	CHEBI:29035	236
P34047	ECO:0007744	CHEBI:29035	232
P17405	ECO:0007744	CHEBI:29105	208
Q9H5I1	ECO:0000269	CHEBI:29105	405
P58242	ECO:0007744	CHEBI:29105	30
P58242	ECO:0000269	CHEBI:29105	28
P03956	ECO:0000269	CHEBI:29108	285
P03956	ECO:0000269	CHEBI:29108	176
P03956	ECO:0000269	CHEBI:29108	180
P30803	ECO:0000269	CHEBI:18420	477
G8GV69	ECO:0007744	CHEBI:24875	217
P24941	ECO:0000269	CHEBI:18420	145
P27999	ECO:0000269	CHEBI:29105	10
Q8W453	ECO:0000269	CHEBI:29105	62
Q15465	ECO:0000269	CHEBI:29108	125
P98158	ECO:0000269	CHEBI:29108	1211
O31526	ECO:0007744	CHEBI:29108	230
O31526	ECO:0000269	CHEBI:29108	464
O31526	ECO:0000269	CHEBI:29108	375
O31526	ECO:0000269	CHEBI:29108	369
O31526	ECO:0007744	CHEBI:29108	166
O31526	ECO:0000269	CHEBI:29108	160
O31526	ECO:0000269	CHEBI:29108	416
O31526	ECO:0000269	CHEBI:29108	363
P08648	ECO:0007744	CHEBI:29108	334
P76491	ECO:0007744	CHEBI:48828	137
Q08493	ECO:0007744	CHEBI:29105	428
P27395	ECO:0000269	CHEBI:29105	3260
P04063	ECO:0000269	CHEBI:29108	172
P0AE67	ECO:0000269	CHEBI:18420	12
P14925	ECO:0007744	CHEBI:23378	172
P14925	ECO:0000269	CHEBI:29105	690
Q03692	ECO:0000269	CHEBI:29108	626
Q9HAR2	ECO:0000269	CHEBI:29108	264
P45575	ECO:0000269	CHEBI:49883	189
P45575	ECO:0007744	CHEBI:49883	151
P20345	ECO:0007744	CHEBI:18420	285
P00971	ECO:0000269	CHEBI:18420	272
Q12718	ECO:0007744	CHEBI:23378	84
Q9H8S9	ECO:0000269	CHEBI:29105	84
G2IQQ5	ECO:0000269	CHEBI:29105	178
A0A109PTH9	ECO:0000269	CHEBI:29108	332
P08842	ECO:0000269	CHEBI:29108	342
P00713	ECO:0007744	CHEBI:29108	101
Q753P9	ECO:0000269	CHEBI:60240	236
Q93088	ECO:0000269	CHEBI:29105	300
Q9Y4X5	ECO:0000269	CHEBI:29105	312
Q9Y4X5	ECO:0007744	CHEBI:29105	344
P03606	ECO:0000269	CHEBI:29108	62
P0CE72	ECO:0000269	CHEBI:29108	91
P0CE72	ECO:0000269	CHEBI:29108	102
P02966	ECO:0007744	CHEBI:29108	80
P02966	ECO:0007744	CHEBI:29108	78
P02966	ECO:0007744	CHEBI:29108	8
Q8IZ41	ECO:0007744	CHEBI:29108	25
Q8IZ41	ECO:0007744	CHEBI:29108	66
Q8IZ41	ECO:0007744	CHEBI:29108	55
A0A0D4WV12	ECO:0000269	CHEBI:18420	34
P49166	ECO:0000269	CHEBI:29105	37
P00441	ECO:0000269	CHEBI:29105	84
Q8VCX5	ECO:0000269	CHEBI:29108	434
Q8VCX5	ECO:0000269	CHEBI:29108	429
Q8VCX5	ECO:0000269	CHEBI:29108	239
P83847	ECO:0000269	CHEBI:49883	205
P83847	ECO:0007744	CHEBI:49883	208
P53144	ECO:0000269	CHEBI:60240	89
P07003	ECO:0000269	CHEBI:18420	433
G3X982	ECO:0000269	CHEBI:190135	77
I6YEE1	ECO:0000269	CHEBI:24875	51
I6YEE1	ECO:0000269	CHEBI:24875	79
P10828	ECO:0007744	CHEBI:29105	161
P10828	ECO:0000269	CHEBI:29105	107
P10828	ECO:0007744	CHEBI:29105	164
Q86VK4	ECO:0007744	CHEBI:29105	316
Q86VK4	ECO:0007744	CHEBI:29105	341
Q86VK4	ECO:0007744	CHEBI:29105	256
P16952	ECO:0007744	CHEBI:29108	1186
P16952	ECO:0007744	CHEBI:29108	648
Q46085	ECO:0000269	CHEBI:29108	467
Q46085	ECO:0000269	CHEBI:29108	753
Q46085	ECO:0000269	CHEBI:29108	937
Q46085	ECO:0000269	CHEBI:29108	842
Q46085	ECO:0000269	CHEBI:29108	725
Q8IWL3	ECO:0007744	CHEBI:60240	61
Q9RVK2	ECO:0007744	CHEBI:18420	53
Q9RVK2	ECO:0000269	CHEBI:18420	14
Q0QLF3	ECO:0000269	CHEBI:190135	138
P75820	ECO:0000269	CHEBI:29105	176
Q16853	ECO:0007744	CHEBI:29108	531
P0DP23	ECO:0000269	CHEBI:29108	21
P0DP23	ECO:0007744	CHEBI:29108	23
A0A0H2URD6	ECO:0007744	CHEBI:29108	264
P0A110	ECO:0007744	CHEBI:190135	101
P39234	ECO:0007744	CHEBI:24875	46
Q28175	ECO:0000269	CHEBI:24875	527
Q61097	ECO:0000269	CHEBI:29105	377
P83772	ECO:0000269	CHEBI:29105	120
P83772	ECO:0000269	CHEBI:29105	36
O44750	ECO:0007744	CHEBI:29105	424
P79880	ECO:0000269	CHEBI:29108	74
A0A7U3TCA2	ECO:0000269	CHEBI:48828	67
P25713	ECO:0007744	CHEBI:60240	45
P25713	ECO:0000269	CHEBI:60240	45
P25713	ECO:0007744	CHEBI:60240	66
P25713	ECO:0000269	CHEBI:60240	67
Q5AAT0	ECO:0007744	CHEBI:60240	244
Q10583	ECO:0007744	CHEBI:23378	2138
Q10583	ECO:0007744	CHEBI:23378	1031
Q10583	ECO:0007744	CHEBI:23378	2577
Q10583	ECO:0007744	CHEBI:23378	1471
Q10583	ECO:0007744	CHEBI:23378	618
P08253	ECO:0007744	CHEBI:29105	413
P08253	ECO:0007744	CHEBI:29105	206
P84193	ECO:0007744	CHEBI:29105	337
P08228	ECO:0000269	CHEBI:29105	64
Q9BQG2	ECO:0007744	CHEBI:29105	307
P49790	ECO:0007744	CHEBI:29105	813
P49790	ECO:0007744	CHEBI:29105	860
P08253	ECO:0007744	CHEBI:29108	618
P08253	ECO:0000269	CHEBI:29108	168
P15116	ECO:0000269	CHEBI:29108	261
P15116	ECO:0000269	CHEBI:29108	293
P0AAJ3	ECO:0000269	CHEBI:49883	112
P0AAJ3	ECO:0000269	CHEBI:49883	42
P0AAJ3	ECO:0000269	CHEBI:49883	139
P14618	ECO:0007744	CHEBI:29103	77
Q70KH9	ECO:0007744	CHEBI:24875	196
C0HJY1	ECO:0000269	CHEBI:29035	8
G7JFU5	ECO:0000269	CHEBI:29035	157
O28597	ECO:0000269	CHEBI:29105	127
Q9UJA9	ECO:0007744	CHEBI:29105	191
C0HJY1	ECO:0000269	CHEBI:29108	12
P45568	ECO:0000269	CHEBI:60240	150
P15116	ECO:0007744	CHEBI:29108	295
Q6GFF9	ECO:0000269	CHEBI:18420	213
Q8RPQ2	ECO:0000269	CHEBI:24875	27
P17202	ECO:0007744	CHEBI:29103	28
Q96EY1	ECO:0000269	CHEBI:29105	278
A5KE01	ECO:0000269	CHEBI:29105	42
A5KE01	ECO:0000269	CHEBI:29105	310
O14786	ECO:0007744	CHEBI:29108	209
O68252	ECO:0000269	CHEBI:49883	423
P0A405	ECO:0000269	CHEBI:49883	587
P0A405	ECO:0000269	CHEBI:49883	578
Q7WTT9	ECO:0007744	CHEBI:49883	69
Q7WTT9	ECO:0007744	CHEBI:49883	183
O95989	ECO:0000269	CHEBI:18420	70
G1UBD1	ECO:0000269	CHEBI:23378	72
P45148	ECO:0007744	CHEBI:29105	42
Q86TM6	ECO:0000269	CHEBI:29105	326
Q86TM6	ECO:0000269	CHEBI:29105	309
Q5ZYB7	ECO:0000269	CHEBI:29105	55
P37093	ECO:0007744	CHEBI:29105	397
P15436	ECO:0000269	CHEBI:29105	1012
Q9SE33	ECO:0000269	CHEBI:29105	159
Q9SE33	ECO:0007744	CHEBI:29105	181
P77541	ECO:0000269	CHEBI:18420	85
Q44244	ECO:0000269	CHEBI:18420	214
P40394	ECO:0007744	CHEBI:29105	116
P40394	ECO:0000269	CHEBI:29105	113
C7C422	ECO:0000269	CHEBI:29105	124
P46154	ECO:0007744	CHEBI:29105	112
P46154	ECO:0000269	CHEBI:29105	112
Q01137	ECO:0000269	CHEBI:29105	62
Q9SN73	ECO:0000269	CHEBI:29105	118
Q9SN73	ECO:0007744	CHEBI:29105	83
Q9SN73	ECO:0007744	CHEBI:29105	72
Q9SN73	ECO:0000269	CHEBI:29105	72
Q9SN73	ECO:0000269	CHEBI:29105	107
Q9SN73	ECO:0007744	CHEBI:29105	80
Q2UP89	ECO:0007744	CHEBI:29108	275
P00877	ECO:0000269	CHEBI:18420	201
Q5ZWR1	ECO:0007744	CHEBI:18420	624
P43311	ECO:0000269	CHEBI:23378	211
Q5LW89	ECO:0000269	CHEBI:24875	87
P00968	ECO:0007744	CHEBI:29035	841
O15091	ECO:0007744	CHEBI:29105	351
Q9UM07	ECO:0000269	CHEBI:29108	388
Q9UM07	ECO:0000269	CHEBI:29108	373
P0DQD3	ECO:0000269	CHEBI:29108	49
P19999	ECO:0000269	CHEBI:29108	182
P9WN39	ECO:0007744	CHEBI:18420	227
P9WN39	ECO:0000269	CHEBI:18420	219
P9WN39	ECO:0007744	CHEBI:18420	276
Q2RMD6	ECO:0000269	CHEBI:18420	967
P09148	ECO:0000269	CHEBI:24875	281
P04608	ECO:0000269	CHEBI:29105	37
P19508	ECO:0000269	CHEBI:29105	87
Q2RMD6	ECO:0000269	CHEBI:49883	742
Q2RMD6	ECO:0000269	CHEBI:49883	812
P00973	ECO:0000269	CHEBI:18420	75
P02244	ECO:0000269	CHEBI:24875	74
Q5W0Z9	ECO:0000269	CHEBI:29105	128
Q96S55	ECO:0007744	CHEBI:29105	35
P62877	ECO:0000269	CHEBI:29105	80
P84074	ECO:0000269	CHEBI:29108	157
H3BCW1	ECO:0000269	CHEBI:18420	306
H3BCW1	ECO:0007744	CHEBI:18420	26
P16304	ECO:0000269	CHEBI:29105	130
Q4WW81	ECO:0000269	CHEBI:29105	246
Q8WYH8	ECO:0000269	CHEBI:29105	189
Q8GIX7	ECO:0007744	CHEBI:29105	98
Q9BWP8	ECO:0000269	CHEBI:29108	238
Q9BWP8	ECO:0007744	CHEBI:29108	252
P80882	ECO:0000269	CHEBI:49883	54
Q8IKG4	ECO:0000269	CHEBI:60240	233
C6D9S0	ECO:0000269	CHEBI:18420	212
P43873	ECO:0000269	CHEBI:18420	288
P42270	ECO:0000269	CHEBI:18420	139
Q10471	ECO:0007744	CHEBI:29035	359
P36999	ECO:0007744	CHEBI:29105	21
Q9UQQ1	ECO:0000269	CHEBI:29105	445
P15144	ECO:0000269	CHEBI:29105	392
O26708	ECO:0000269	CHEBI:29105	467
P03300	ECO:0000269	CHEBI:29105	1413
P03474	ECO:0000269	CHEBI:29108	324
Q9UQQ1	ECO:0007744	CHEBI:29108	261
Q9UQQ1	ECO:0000269	CHEBI:29108	258
Q9UQQ1	ECO:0007744	CHEBI:29108	258
A0A0H3AIG7	ECO:0000269	CHEBI:18420	873
Q51883	ECO:0000269	CHEBI:23378	73
P48052	ECO:0000269	CHEBI:29105	306
Q8ZFU4	ECO:0000269	CHEBI:29105	19
Q8ZFU4	ECO:0000269	CHEBI:29105	140
Q6MLJ0	ECO:0000269	CHEBI:29108	24
P75429	ECO:0000269	CHEBI:24875	71
P75429	ECO:0000269	CHEBI:24875	185
O08795	ECO:0007744	CHEBI:29108	98
O08795	ECO:0000269	CHEBI:29108	94
P23807	ECO:0007744	CHEBI:29108	143
P00636	ECO:0000269	CHEBI:18420	121
P04191	ECO:0007744	CHEBI:18420	351
P03433	ECO:0000269	CHEBI:29035	108
Q50940	ECO:0000269	CHEBI:29105	137
P0DP29	ECO:0000269	CHEBI:29108	136
P0DP29	ECO:0007744	CHEBI:29108	132
P0DP29	ECO:0000269	CHEBI:29108	27
P0DP29	ECO:0000269	CHEBI:29108	21
P04191	ECO:0007744	CHEBI:29108	800
P04191	ECO:0000269	CHEBI:29108	799
Q07340	ECO:0007744	CHEBI:49883	25
F2RB83	ECO:0000269	CHEBI:24875	239
Q8X151	ECO:0000269	CHEBI:29035	478
P0A1P6	ECO:0007744	CHEBI:29035	213
O60260	ECO:0000269	CHEBI:29105	332
O75844	ECO:0000269	CHEBI:29105	415
P84138	ECO:0007744	CHEBI:29105	245
A7N805	ECO:0007744	CHEBI:29105	60
A7N805	ECO:0000269	CHEBI:29105	63
P18640	ECO:0000269	CHEBI:29105	229
P18640	ECO:0007744	CHEBI:29105	269
P22304	ECO:0000269	CHEBI:29108	335
P94691	ECO:0000269	CHEBI:29108	45
P27907	ECO:0000269	CHEBI:29108	345
Q02818	ECO:0000269	CHEBI:29108	316
Q02818	ECO:0000269	CHEBI:29108	307
O57767	ECO:0007744	CHEBI:49883	170
O32445	ECO:0000269	CHEBI:60240	213
P0A8T7	ECO:0000269	CHEBI:18420	460
O87198	ECO:0007744	CHEBI:18420	13
P50213	ECO:0000269	CHEBI:18420	261
Q29437	ECO:0007744	CHEBI:23378	521
P00250	ECO:0000269	CHEBI:190135	78
P85314	ECO:0000269	CHEBI:29105	154
P06802	ECO:0000269	CHEBI:29105	405
Q6PCT2	ECO:0000269	CHEBI:29105	88
Q8N465	ECO:0000269	CHEBI:29105	441
P0A8T7	ECO:0000269	CHEBI:29105	85
P0A8T7	ECO:0000269	CHEBI:29105	895
Q7KTX7	ECO:0000269	CHEBI:29105	459
Q7KTX7	ECO:0000269	CHEBI:29105	382
P06802	ECO:0000269	CHEBI:29108	783
P22088	ECO:0000269	CHEBI:29108	340
Q29437	ECO:0007744	CHEBI:29108	528
B3STU4	ECO:0007744	CHEBI:23378	654
P74334	ECO:0000269	CHEBI:24875	484
Q97ZX7	ECO:0007744	CHEBI:29105	26
Q9ZHI0	ECO:0000269	CHEBI:29105	412
P02769	ECO:0000269	CHEBI:29108	282
Q6EIG7	ECO:0007744	CHEBI:29108	170
B7UI21	ECO:0007744	CHEBI:29035	223
P39841	ECO:0000269	CHEBI:29105	98
Q13107	ECO:0000269	CHEBI:29105	802
Q8VTT5	ECO:0007744	CHEBI:29105	59
Q03529	ECO:0000269	CHEBI:29105	348
A0FGR8	ECO:0000269	CHEBI:29108	461
Q9WY30	ECO:0000269	CHEBI:60240	169
P80366	ECO:0000269	CHEBI:29105	313
Q07343	ECO:0000269	CHEBI:29105	447
Q9NQC7	ECO:0000269	CHEBI:29105	791
Q9NPF0	ECO:0000269	CHEBI:29108	155
Q9NPF0	ECO:0000269	CHEBI:29108	75
P80511	ECO:0007744	CHEBI:23378	90
Q00458	ECO:0007744	CHEBI:190135	64
Q00458	ECO:0000269	CHEBI:190135	67
P29082	ECO:0000269	CHEBI:24875	90
P80511	ECO:0000269	CHEBI:29105	86
P80511	ECO:0000269	CHEBI:29108	22
P0DKL3	ECO:0007744	CHEBI:29108	166
A7T1N0	ECO:0000269	CHEBI:29108	918
P96578	ECO:0007744	CHEBI:29035	69
Q72LF3	ECO:0007744	CHEBI:29105	277
Q6UWV6	ECO:0007744	CHEBI:29105	246
P16109	ECO:0000269	CHEBI:29108	123
Q72LF3	ECO:0007744	CHEBI:49883	130
P07824	ECO:0000269	CHEBI:29035	126
P07824	ECO:0007744	CHEBI:29035	124
P27708	ECO:0007744	CHEBI:29105	1471
P56690	ECO:0007744	CHEBI:29105	464
Q5JRX3	ECO:0000269	CHEBI:29105	205
P02340	ECO:0000269	CHEBI:29105	173
Q8NB78	ECO:0007744	CHEBI:29105	58
Q8NB78	ECO:0007744	CHEBI:29105	142
Q8NB78	ECO:0000269	CHEBI:29105	142
Q08751	ECO:0000269	CHEBI:29108	169
P14894	ECO:0000269	CHEBI:29108	182
P14894	ECO:0000269	CHEBI:29108	177
P0DUB9	ECO:0000269	CHEBI:29108	287
O67082	ECO:0007744	CHEBI:18420	40
P49599	ECO:0000269	CHEBI:29035	296
P32321	ECO:0000269	CHEBI:29105	110
Q9UBN7	ECO:0000269	CHEBI:29105	1164
E8MGH8	ECO:0000269	CHEBI:29105	338
P45548	ECO:0007744	CHEBI:29105	14
P45548	ECO:0000269	CHEBI:29105	243
P45548	ECO:0007744	CHEBI:29105	158
O75636	ECO:0007744	CHEBI:29108	239
P45452	ECO:0000269	CHEBI:29108	205
Q8P8J5	ECO:0000269	CHEBI:48828	72
P24021	ECO:0007744	CHEBI:60240	139
B1YAL1	ECO:0007744	CHEBI:18420	52
P02247	ECO:0000269	CHEBI:24875	58
Q96Q83	ECO:0007744	CHEBI:24875	191
Q6N021	ECO:0000269	CHEBI:29105	1912
Q6N021	ECO:0000269	CHEBI:29105	1298
P46075	ECO:0000269	CHEBI:29108	445
A0A067XG71	ECO:0007744	CHEBI:29108	12
P19921	ECO:0000269	CHEBI:190135	62
Q2FUW1	ECO:0007744	CHEBI:29108	601
Q2FUW1	ECO:0000269	CHEBI:29108	382
Q9HC16	ECO:0000269	CHEBI:29105	257
P00268	ECO:0000269	CHEBI:24875	39
Q9BV57	ECO:0000269	CHEBI:29033	88
P62273	ECO:0007744	CHEBI:29105	39
P00740	ECO:0007744	CHEBI:29108	54
P00740	ECO:0007744	CHEBI:29108	111
P00740	ECO:0000269	CHEBI:29108	286
P81177	ECO:0007744	CHEBI:29105	352
Q8NBJ7	ECO:0000269	CHEBI:29108	236
P21457	ECO:0000269	CHEBI:29108	80
P21457	ECO:0007744	CHEBI:29108	121
P81177	ECO:0000269	CHEBI:29108	390
P81177	ECO:0000269	CHEBI:29108	405
P16298	ECO:0000269	CHEBI:24875	99
Q8U8Z6	ECO:0007744	CHEBI:29034	254
Q93UJ2	ECO:0000269	CHEBI:29105	175
Q9STM3	ECO:0000269	CHEBI:29105	1298
Q9STM3	ECO:0007744	CHEBI:29105	1263
P13689	ECO:0000269	CHEBI:29105	144
P06702	ECO:0007744	CHEBI:29108	26
P00654	ECO:0000269	CHEBI:29108	30
Q8VXY9	ECO:0007744	CHEBI:29035	448
Q9I4K6	ECO:0007744	CHEBI:29035	7
P60003	ECO:0007744	CHEBI:29105	53
Q40983	ECO:0000269	CHEBI:29105	240
Q9H5U6	ECO:0000269	CHEBI:29105	394
P19619	ECO:0007744	CHEBI:29108	255
P39748	ECO:0000269	CHEBI:18420	86
P00403	ECO:0000269	CHEBI:23378	196
Q8VYP0	ECO:0007744	CHEBI:23378	210
Q8VYP0	ECO:0000269	CHEBI:23378	295
P54512	ECO:0000269	CHEBI:29035	103
O00764	ECO:0000269	CHEBI:29101	186
A0A384KG77	ECO:0007744	CHEBI:29105	107
Q63810	ECO:0000269	CHEBI:29108	37
Q63810	ECO:0007744	CHEBI:29108	145
Q63810	ECO:0007744	CHEBI:29108	106
Q63810	ECO:0007744	CHEBI:29108	33
Q63810	ECO:0000269	CHEBI:29108	65
Q8TD43	ECO:0000269	CHEBI:29108	831
Q8TD43	ECO:0007744	CHEBI:29108	868
P0AC47	ECO:0000269	CHEBI:190135	78
Q8AVN9	ECO:0000269	CHEBI:29105	113
Q8AVN9	ECO:0000269	CHEBI:29105	39
Q7CS13	ECO:0000269	CHEBI:29105	289
P77425	ECO:0000269	CHEBI:29105	190
P00921	ECO:0000269	CHEBI:29105	119
Q9X1T8	ECO:0000269	CHEBI:49786	148
P0AC47	ECO:0007744	CHEBI:49883	149
Q59110	ECO:0000269	CHEBI:49883	244
P11970	ECO:0000269	CHEBI:23378	161
P69380	ECO:0007744	CHEBI:29105	153
Q60710	ECO:0007744	CHEBI:29105	199
G5EBX9	ECO:0000269	CHEBI:29108	682
P55135	ECO:0000269	CHEBI:49883	81
P62339	ECO:0007744	CHEBI:60240	54
P62339	ECO:0000269	CHEBI:60240	20
P62339	ECO:0000269	CHEBI:60240	35
P62339	ECO:0000269	CHEBI:60240	18
Q8INK6	ECO:0000269	CHEBI:29105	169
Q38882	ECO:0000269	CHEBI:29108	722
P55949	ECO:0000269	CHEBI:60240	54
P9WHN9	ECO:0007744	CHEBI:29105	207
Q3M9H8	ECO:0000269	CHEBI:23378	73
O60494	ECO:0007744	CHEBI:29108	1149
